Freq dB Phase
250.122070 71.193 163.8354
250.488281 71.187 163.8509
250.854492 71.181 163.8669
251.220703 71.175 163.8820
251.586914 71.169 163.8950
251.953125 71.163 163.9073
252.319336 71.156 163.9219
252.685547 71.149 163.9404
253.051758 71.143 163.9601
253.417969 71.138 163.9769
253.784180 71.133 163.9890
254.150391 71.127 163.9991
254.516602 71.121 164.0125
254.882812 71.115 164.0315
255.249023 71.110 164.0524
255.615234 71.106 164.0681
255.981445 71.102 164.0754
256.347656 71.096 164.0789
256.713867 71.089 164.0882
257.080078 71.081 164.1098
257.446289 71.075 164.1414
257.812500 71.070 164.1728
258.178711 71.067 164.1949
258.544922 71.062 164.2063
258.911133 71.056 164.2140
259.277344 71.050 164.2260
259.643555 71.042 164.2442
260.009766 71.036 164.2642
260.375977 71.029 164.2811
260.742188 71.023 164.2959
261.108398 71.015 164.3148
261.474609 71.008 164.3424
261.840820 71.003 164.3748
262.207031 70.999 164.4008
262.573242 70.997 164.4110
262.939453 70.994 164.4059
263.305664 70.989 164.3972
263.671875 70.981 164.3994
264.038086 70.974 164.4187
264.404297 70.969 164.4500
264.770508 70.966 164.4810
265.136719 70.965 164.5019
265.502930 70.963 164.5114
265.869141 70.961 164.5145
266.235352 70.957 164.5170
266.601562 70.953 164.5215
266.967773 70.948 164.5285
267.333984 70.942 164.5395
267.700195 70.935 164.5580
268.066406 70.928 164.5864
268.432617 70.922 164.6218
268.798828 70.918 164.6558
269.165039 70.915 164.6787
269.531250 70.911 164.6873
269.897461 70.905 164.6876
270.263672 70.896 164.6919
270.629883 70.886 164.7104
270.996094 70.877 164.7453
271.362305 70.869 164.7887
271.728516 70.865 164.8284
272.094727 70.861 164.8557
272.460938 70.858 164.8697
272.827148 70.853 164.8773
273.193359 70.847 164.8873
273.559570 70.842 164.9040
273.925781 70.837 164.9246
274.291992 70.834 164.9415
274.658203 70.832 164.9489
275.024414 70.829 164.9468
275.390625 70.824 164.9421
275.756836 70.818 164.9433
276.123047 70.812 164.9547
276.489258 70.806 164.9737
276.855469 70.802 164.9938
277.221680 70.797 165.0103
277.587891 70.792 165.0244
277.954102 70.786 165.0417
278.320312 70.780 165.0671
278.686523 70.774 165.1000
279.052734 70.769 165.1344
279.418945 70.766 165.1635
279.785156 70.762 165.1854
280.151367 70.758 165.2037
280.517578 70.753 165.2245
280.883789 70.747 165.2507
281.250000 70.743 165.2797
281.616211 70.740 165.3052
281.982422 70.738 165.3222
282.348633 70.735 165.3306
282.714844 70.730 165.3351
283.081055 70.725 165.3424
283.447266 70.719 165.3566
283.813477 70.714 165.3779
284.179688 70.710 165.4031
284.545898 70.706 165.4276
284.912109 70.704 165.4478
285.278320 70.701 165.4621
285.644531 70.698 165.4716
286.010742 70.694 165.4786
286.376953 70.690 165.4864
286.743164 70.684 165.4977
287.109375 70.678 165.5150
287.475586 70.672 165.5400
287.841797 70.666 165.5733
288.208008 70.661 165.6133
288.574219 70.658 165.6550
288.940430 70.656 165.6905
289.306641 70.656 165.7121
289.672852 70.655 165.7173
290.039062 70.651 165.7112
290.405273 70.645 165.7056
290.771484 70.637 165.7119
291.137695 70.629 165.7346
291.503906 70.623 165.7682
291.870117 70.618 165.8018
292.236328 70.615 165.8261
292.602539 70.612 165.8400
292.968750 70.608 165.8496
293.334961 70.603 165.8625
293.701172 70.598 165.8808
294.067383 70.594 165.9006
294.433594 70.590 165.9161
294.799805 70.587 165.9261
295.166016 70.582 165.9360
295.532227 70.577 165.9525
295.898438 70.572 165.9774
296.264648 70.569 166.0048
296.630859 70.566 166.0259
296.997070 70.564 166.0379
297.363281 70.560 166.0481
297.729492 70.554 166.0689
298.095703 70.549 166.1067
298.461914 70.548 166.1527
298.828125 70.550 166.1854
299.194336 70.553 166.1851
299.560547 70.553 166.1503
299.926758 70.546 166.1027
300.292969 70.533 166.0767
300.659180 70.517 166.0975
301.025391 70.504 166.1643
301.391602 70.498 166.2498
301.757812 70.498 166.3179
302.124023 70.499 166.3478
302.490234 70.498 166.3457
302.856445 70.493 166.3383
303.222656 70.483 166.3521
303.588867 70.475 166.3950
303.955078 70.470 166.4522
304.321289 70.470 166.4998
304.687500 70.470 166.5224
305.053711 70.470 166.5242
305.419922 70.466 166.5233
305.786133 70.460 166.5359
306.152344 70.456 166.5646
306.518555 70.454 166.5962
306.884766 70.453 166.6144
307.250977 70.453 166.6134
307.617188 70.449 166.6027
307.983398 70.443 166.6003
308.349609 70.435 166.6185
308.715820 70.429 166.6550
309.082031 70.425 166.6954
309.448242 70.424 166.7245
309.814453 70.422 166.7379
