x	LEFT
3404.2	47.1417
3452.7	47.1157
3501.9	47.0896
3551.8	47.0635
3602.4	47.0374
3653.7	47.0115
3705.8	46.9863
3758.5	46.9602
3812.1	46.9273
3866.4	46.8816
3921.5	46.8222
3977.3	46.7517
4034	46.671
4091.4	46.5791
4149.7	46.474
4208.8	46.3523
4268.8	46.2079
4329.6	46.0295
4391.3	45.8051
4453.8	45.5303
4517.3	45.2119
4581.6	44.8731
4646.9	44.538
4713.1	44.2006
4780.2	43.8472
4848.3	43.4552
4917.4	43.0086
4987.4	42.5733
5058.5	42.204
5130.5	41.894
5203.6	41.617
5277.7	41.3611
5352.9	41.1236
5429.2	40.9204
5506.5	40.8535
5584.9	40.7394
5664.5	40.6166
5745.2	40.5021
5827	40.401
5910	40.3162
5994.2	40.2507
6079.6	40.2076
6166.2	40.1901
6254.1	40.1975
6343.1	40.2282
6433.5	40.2818
6525.1	40.3591
6618.1	40.4626
6712.4	40.5977
6808	40.7768
6905	41.0303
7003.3	41.4151
7103.1	41.9955
7204.3	42.6265
7306.9	43.2389
7411	43.8812
7516.5	44.585
7623.6	45.349
7732.2	46.1734
7842.4	47.0597
7954.1	47.8826
8067.4	48.4321
8182.3	48.5338
8298.9	48.2212
8417.1	47.6821
8537	47.0472
8658.6	46.4035
8781.9	45.7901
8907	45.2138
9033.9	44.7291
9162.6	44.3995
9293.1	44.2753
9425.5	44.3811
9559.7	44.6482
9695.9	44.9958
9834	45.3512
9974.1	45.6547
10116.2	45.8816
10260.3	46.0029
10406.5	45.9372
10554.7	45.411
10705.1	44.1311
10857.6	42.8511
11012.2	41.5406
11169.1	40.3663
11328.2	38.8637
11489.6	38.2745
11653.2	37.9623
11819.2	37.7101
11987.6	37.4627
12158.3	37.1698
12331.5	36.711
12507.2	35.8251
12685.4	34.5725
12866.1	32.9126
13049.3	31.1809
13235.2	28.5754
13423.8	26.7488
13615	23.6402
13808.9	21.9234
14005.6	20.1976
14205.1	18.4752
14407.5	16.9597
14612.7	15.6193
14820.9	13.768
15032	12.3045
15246.1	11.0657
15463.3	9.7808
15683.6	8.7621
15907	7.8921
16133.6	7.0296
16363.4	6.0399
16596.5	5.0829
16832.9	4.2329
17072.7	3.3168
17315.9	2.2905
17562.6	1.2901
