* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 01-Apr-2022 03:17:36
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aria (2021) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
Freq	dB
2,140.0000	76.322
2,180.0000	76.459
2,200.0000	76.526
2,240.0000	76.658
2,270.0000	76.753
2,300.0000	76.845
2,330.0000	76.935
2,360.0000	77.022
2,400.0000	77.134
2,430.0000	77.216
2,470.0000	77.322
2,500.0000	77.398
2,540.0000	77.492
2,580.0000	77.581
2,620.0000	77.662
2,650.0000	77.718
2,690.0000	77.786
2,720.0000	77.832
2,760.0000	77.886
2,800.0000	77.931
2,850.0000	77.977
2,900.0000	78.009
2,950.0000	78.029
3,000.0000	78.036
3,040.0000	78.033
3,070.0000	78.026
3,110.0000	78.010
3,150.0000	77.988
3,200.0000	77.951
3,250.0000	77.905
3,300.0000	77.849
3,350.0000	77.786
3,400.0000	77.717
3,450.0000	77.643
3,500.0000	77.565
3,550.0000	77.484
3,600.0000	77.403
3,650.0000	77.320
3,700.0000	77.237
3,750.0000	77.155
3,820.0000	77.044
3,870.0000	76.970
3,950.0000	76.862
4,000.0000	76.795
4,060.0000	76.716
4,120.0000	76.639
4,180.0000	76.562
4,250.0000	76.471
4,310.0000	76.392
4,370.0000	76.313
4,440.0000	76.222
4,500.0000	76.146
4,550.0000	76.080
4,620.0000	75.983
4,680.0000	75.893
4,750.0000	75.780
4,820.0000	75.655
4,870.0000	75.556
4,940.0000	75.401
5,000.0000	75.258
5,080.0000	75.053
5,150.0000	74.864
5,220.0000	74.666
5,300.0000	74.428
5,380.0000	74.177
5,450.0000	73.946
5,520.0000	73.704
5,600.0000	73.420
5,700.0000	73.065
5,800.0000	72.732
5,900.0000	72.431
6,000.0000	72.137
6,080.0000	71.901
6,150.0000	71.698
6,220.0000	71.502
6,300.0000	71.289
6,400.0000	71.042
6,500.0000	70.823
6,600.0000	70.635
6,700.0000	70.477
6,800.0000	70.353
6,900.0000	70.269
7,000.0000	70.225
7,100.0000	70.223
7,200.0000	70.260
7,300.0000	70.332
7,400.0000	70.437
7,500.0000	70.572
7,620.0000	70.775
7,750.0000	71.035
7,880.0000	71.342
8,000.0000	71.683
8,120.0000	72.096
8,250.0000	72.636
8,380.0000	73.273
8,500.0000	73.929
8,620.0000	74.594
8,750.0000	75.203
8,850.0000	75.487
9,000.0000	75.441
9,120.0000	74.937
9,250.0000	73.983
9,380.0000	72.753
9,500.0000	71.517
9,620.0000	70.287
9,750.0000	69.026
9,880.0000	67.867
10,000.0000	66.890
10,150.0000	65.783
10,300.0000	64.785
10,440.0000	63.937
10,600.0000	63.056
10,750.0000	62.313
10,900.0000	61.645
11,060.0000	61.022
11,200.0000	60.575
11,380.0000	60.240
11,500.0000	60.265
11,720.0000	61.070
11,800.0000	61.602
12,060.0000	63.636
12,200.0000	64.596
12,410.0000	65.672
12,500.0000	66.036
12,650.0000	66.595
12,800.0000	67.176
13,150.0000	68.922
13,200.0000	69.226
13,400.0000	70.531
13,600.0000	71.797
13,800.0000	72.644
14,000.0000	72.697
14,300.0000	71.254
14,500.0000	69.747
14,750.0000	67.842
15,000.0000	66.231
15,250.0000	64.992
15,500.0000	64.097
15,750.0000	63.511
16,000.0000	63.200
16,250.0000	63.117
16,500.0000	63.204
16,750.0000	63.342
17,000.0000	63.260
17,250.0000	62.482
17,500.0000	60.976
17,750.0000	59.722
18,000.0000	58.810
18,250.0000	57.714
18,500.0000	56.453
18,750.0000	55.309
19,000.0000	54.526
19,250.0000	54.126
19,500.0000	53.947
19,750.0000	53.776
20,000.0000	53.598
