* Measurement data measured by REW V5.20.5
* Source: ??? (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 128k Log Swept Sine, 4 sweeps at -12.0 dBFS with no timing reference
* Dated: 01-Apr-2022 03:16:16
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Aria (2021) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
3,650.0000 77.987 173.80
3,700.0000 77.923 173.17
3,750.0000 77.860 172.57
3,820.0000 77.772 171.76
3,870.0000 77.713 171.21
3,950.0000 77.625 170.38
4,000.0000 77.571 169.88
4,060.0000 77.508 169.32
4,120.0000 77.448 168.78
4,180.0000 77.394 168.25
4,250.0000 77.339 167.62
4,310.0000 77.296 167.03
4,370.0000 77.254 166.38
4,440.0000 77.199 165.52
4,500.0000 77.143 164.73
4,550.0000 77.088 164.04
4,620.0000 76.997 163.05
4,680.0000 76.905 162.19
4,750.0000 76.782 161.20
4,820.0000 76.638 160.23
4,870.0000 76.520 159.56
4,940.0000 76.335 158.67
5,000.0000 76.161 157.98
5,080.0000 75.914 157.17
5,150.0000 75.687 156.56
5,220.0000 75.453 156.07
5,300.0000 75.177 155.62
5,380.0000 74.892 155.31
5,450.0000 74.635 155.14
5,520.0000 74.368 155.09
5,600.0000 74.055 155.18
5,700.0000 73.666 155.55
5,800.0000 73.307 156.15
5,900.0000 72.963 156.76
6,000.0000 72.602 157.48
6,080.0000 72.315 158.27
6,150.0000 72.073 159.10
6,220.0000 71.843 160.04
6,300.0000 71.598 161.23
6,400.0000 71.317 162.85
6,500.0000 71.064 164.56
6,600.0000 70.838 166.36
6,700.0000 70.640 168.23
6,800.0000 70.468 170.16
6,900.0000 70.328 172.16
7,000.0000 70.222 174.22
7,100.0000 70.151 176.36
7,200.0000 70.118 178.54
7,300.0000 70.120 -179.31
7,400.0000 70.154 -177.22
7,500.0000 70.220 -175.16
7,620.0000 70.341 -172.74
7,750.0000 70.512 -170.23
7,880.0000 70.732 -167.88
8,000.0000 70.994 -165.89
8,120.0000 71.322 -164.11
8,250.0000 71.764 -162.56
8,380.0000 72.309 -161.56
8,500.0000 72.904 -161.37
8,620.0000 73.576 -162.18
8,750.0000 74.350 -164.61
8,850.0000 74.926 -167.88
9,000.0000 75.611 -175.38
9,120.0000 75.854 176.66
9,250.0000 75.694 167.14
9,380.0000 75.079 158.22
9,500.0000 74.185 151.60
9,620.0000 73.096 146.93
9,750.0000 71.830 143.96
9,880.0000 70.571 142.79
10,000.0000 69.461 142.96
10,150.0000 68.169 144.45
10,300.0000 66.995 146.99
10,440.0000 65.999 150.09
10,600.0000 64.967 154.37
10,750.0000 64.088 159.04
10,900.0000 63.291 164.32
11,060.0000 62.533 170.73
11,200.0000 61.962 177.10
11,380.0000 61.423 -173.42
11,500.0000 61.264 -166.27
11,720.0000 61.659 -152.42
11,800.0000 62.064 -147.77
12,060.0000 63.964 -137.74
12,200.0000 64.982 -136.20
12,410.0000 66.151 -136.91
12,500.0000 66.526 -137.53
12,650.0000 67.059 -138.31
12,800.0000 67.577 -138.63
13,150.0000 69.159 -139.20
13,200.0000 69.449 -139.53
13,400.0000 70.757 -142.46
13,600.0000 72.141 -149.38
13,800.0000 73.195 -161.59
14,000.0000 73.433 -177.55
14,300.0000 72.010 161.61
14,500.0000 70.344 154.15
14,750.0000 68.187 151.20
15,000.0000 66.359 152.52
15,250.0000 64.956 155.96
15,500.0000 63.923 160.33
15,750.0000 63.199 165.00
16,000.0000 62.741 169.36
16,250.0000 62.507 172.92
16,500.0000 62.427 175.04
16,750.0000 62.310 175.21
17,000.0000 61.897 174.59
17,250.0000 61.250 175.36
17,500.0000 60.604 176.71
17,750.0000 59.898 177.39
18,000.0000 59.016 178.00
18,250.0000 57.952 179.83
18,500.0000 56.839 -176.36
18,750.0000 55.854 -170.76
19,000.0000 55.148 -164.21
19,250.0000 54.772 -157.72
19,500.0000 54.612 -152.16
19,750.0000 54.468 -148.09
20,000.0000 54.311 -146.11
